100,14,GN-001 Gundam Exia Gunpla 30th Anniversary Ver.,,2010-03-01,3800,,,,Limited re-release of MG-123 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
101,14,Gundam RX-79[G] Gunpla 30th Anniversary Ver.,,2010-03-01,3000,,,,Limited re-release of MG-027 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
102,14,MBF-P02Kai Gundam Astray Red Frame Gunpla 30th Anniversary Ver.,,2010-03-01,5000,,,,Limited re-release of MG-130 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
103,14,MS-07B-3 Gouf Custom Gunpla 30th Anniversary Ver.,,2010-03-01,3000,,,,Limited re-release of MG-036 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
104,14,MS-09 Dom Gunpla 30th Anniversary Ver.,,2010-03-01,4000,,,,Limited re-release of MG-021 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
105,14,MS-18E Kämpfer Gunpla 30th Anniversary Ver.,,2010-03-01,4000,,,,Limited re-release of MG-035 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
106,14,MSN-04 Sazabi Gunpla 30th Anniversary Ver.,,2010-03-01,8000,,,,Limited re-release of MG-029 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
107,14,MSN-06S Sinanju "Ver.Ka" Titanium Finish,,2010-02-01,12000,,,,Special metallic color variant of MG-116. Includes water slide decal sheet.,12
108,14,Metal In Frame 945SH G Ver.GP30th RX-78-2 Gundam,,2010-09-01,0,,,,Limited original release. Features metal frame parts. Includes custom display base/phone charger and water slide decal sheet. Bundled with Limited Edition Softbank 945SH G Ver.GP30th mobile phone. Released to commemorate the 30th anniversary of Gunpla.,12
109,14,RB-79 Mobile Pod Ball "Ver.Ka" Gunpla 30th Anniversary Ver.,,2010-03-01,2000,,,,Limited re-release of MG-076 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
110,14,RX-0 Unicorn Gundam HD Color + MS Cage,,2010-03-01,7500,,,,"Gloss color variant of MG-131 with MS Cage display stand to replicate episode 1 of the OVA. Includes figurines of Banagher Links (Normal Suit and civilian outfit), Audrey Burne, Marida Cruz (civilian outfit), and Cardeas Vist, as well as the figurines included with MG-131.",12
111,14,RX-75-4 Guntank Gunpla 30th Anniversary Ver.,,2010-03-01,4800,,,,Limited re-release of MG-124 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
112,14,RX-78-2 Gundam Ver.2.0 Titanium Finish,,2010-03-01,4200,,,,Limited metallic color variant of MG-111. Released to commemorate the 30th anniversary of Gunpla. Regularly sold worldwide as an annual one-kit batch until 2013.,12
113,14,RX-78-2 Gundam Ver.One Year War 0079 Gunpla 30th Anniversary Ver.,,2010-03-01,3200,,,,Limited re-release of MG-078 (Anime Color Ver.) with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
